Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
F. Niță,Florin Niță,GK,34,76,1081,0,6.098635040894287,-6.098635040894154,-11.775852370899647,0.002085744741853728,0.012601574163403715
T. Sainsbury,Trent Sainsbury,CB,30,72,1809,0,6.090556876919754,-6.090556876919688,-11.754150530041375,0.0010490781810835819,0.006308387507566598
A. Tagnaouti,Ahmed Reda Tagnaouti,GK,26,71,1144,0,6.084943750975828,-6.084943750975695,-11.740605852342329,5.875367864187538e-4,0.003523250184869944
A. Talavera,Alfredo Talavera,GK,39,79,1345,0,6.083448114451712,-6.0834481144515795,-11.747396230548945,0.0022332579083184133,0.01342966735530416
T. Deng,Thomas Deng,CB,25,65,1620,0,6.0778436360229176,-6.077843636022847,-11.727128573397925,6.253837794221186e-4,0.003741741974070109
J. Nilsson,Joakim Nilsson,CB,28,74,1608,0,6.071772057833984,-6.071772057833916,-11.714585079731762,4.840274499673561e-4,0.0028893904894404087
A. Hatem,Abdulaziz Hatem,CM,31,71,1893,0,6.071386361234411,-6.071386361234308,-11.717612427700805,0.0011273428521673006,0.00673746175339381
B. Khoukhi,Boualem Khoukhi,CB,31,71,1818,0,6.0679973183177225,-6.067997318317655,-11.710909698920993,0.0010997129571533376,0.006564635735245387
J. Fameyeh,Joel Fameyeh,ST,25,69,1636,0,6.059368583233352,-6.059368583233167,-11.69170452370404,6.635660435676102e-4,0.00394639233594024
A. Ali,Almoez Ali,ST,25,72,1681,0,6.0544308334404295,-6.054430833440243,-11.682317758846779,6.876457987564053e-4,0.004083134924983102
S. Al Hajri,Salem Al Hajri,CB,26,63,1569,0,6.029830671553712,-6.0298306715536425,-11.633106308862127,3.879534501179802e-4,0.002283556150532895
J. Champness,Joseph Champness,LW,25,66,1536,0,5.990121501222743,-5.99012150122256,-11.584953808918621,0.005292730185398661,0.031048830035944955
Joaquín,Joaquín Sánchez Rodríguez,CAM,40,79,1933,0,5.977866459387091,-5.97786645938707,-11.542983524877585,0.00214162098194999,0.012433174247609311
H. Al Haydos,Hassan Al Haydos,RW,31,72,1758,0,5.941696863357136,-5.9416968633569995,-11.483117904052184,0.003874687922221254,0.022300498183780822
A. Suhail,Ahmed Suhail,CB,23,60,1581,0,5.938248079766725,-5.938248079766656,-11.457967295096802,6.579558492207201e-4,0.0037581136828215935
N. Kirwan,Niko Kirwan,RB,26,64,1678,0,5.9220221823234045,-5.922022182323281,-11.431827539601008,0.0015613751537725924,0.008885653685791823
